Order_ID,Gender_Category,Product_Category,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Order_Date,Sales_Channel,Region,Revenue
2072,Men,Training,Flex Trainer,M,3,4251.74,0.0,2025-01-12,Retail,Pune,12755.22
2073,Women,Lifestyle,Blazer Mid,12,4,4251.74,0.85,2024-11-03,Online,Hyderabad,2551.0440000000003
2074,Men,Training,Flex Trainer,L,1,4251.74,0.57,2024-11-03,Online,Kolkata,1828.2482000000002
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.0,2025-07-14,Online,Pune,17006.96
2076,Women,Training,ZoomX Invincible,11,0,6970.47,0.0,2024-10-13,Retail,Bengaluru,0.0
2077,Men,Training,ZoomX Invincible,L,0,6970.47,0.0,2023-11-21,Online,Pune,0.0
2078,Women,Basketball,LeBron 20,L,0,6970.47,0.0,2023-11-21,Online,Mumbai,0.0
2079,Men,Running,Pegasus Turbo,XL,1,4322.06,0.0,2025-01-19,Online,Bengaluru,4322.06
2080,Men,Lifestyle,Blazer Mid,L,1,9291.74,0.0,2025-03-31,Online,Bengaluru,9291.74
2081,Men,Training,ZoomX Invincible,L,1,9291.74,0.0,2025-03-31,Online,Mumbai,9291.74
2028,Men,Running,Free RN,L,1,9291.74,0.21,2024-02-14,Online,Hyderabad,7340.4746000000005
2083,Men,Running,Free RN,L,2,9291.74,0.0,2024-10-14,Retail,Delhi,18583.48
2084,Men,Training,Metcon 7,M,2,7561.85,0.0,2023-12-24,Online,Mumbai,15123.7
2085,Men,Basketball,Kyrie Flytrap,M,0,7561.85,0.0,2024-12-17,Retail,Kolkata,0.0
2086,Men,Soccer,Mercurial Superfly,L,0,4656.28,0.45,2024-10-11,Online,Kolkata,0.0
2087,Kids,Basketball,Zoom Freak,L,4,4656.28,0.0,2024-11-01,Online,Kolkata,18625.12
2088,Women,Running,Free RN,XL,4,6874.77,0.0,2025-04-26,Online,Bengaluru,27499.08
2089,Women,Training,Flex Trainer,L,2,6874.77,0.6,2024-12-02,Online,Mumbai,5499.816000000001
2090,Kids,Lifestyle,Dunk Low,8,2,9246.88,0.0,2024-12-02,Retail,Bengaluru,18493.76
2091,Kids,Running,Air Zoom,11,2,9246.88,0.0,2024-12-02,Retail,Mumbai,18493.76
2092,Kids,Basketball,Zoom Freak,XL,2,4276.36,1.13,2024-12-02,Online,Delhi,-1111.853599999999
2093,Men,Running,Free RN,XL,0,4276.36,0.29,2024-12-02,Online,Kolkata,0.0
2094,Kids,Training,Flex Trainer,10,1,4276.36,0.0,2024-11-10,Retail,Delhi,4276.36
2095,Men,Lifestyle,Waffle One,M,2,7978.89,0.0,2024-10-16,Online,Delhi,15957.78
2096,Men,Running,Pegasus Turbo,XL,2,7978.89,0.0,2024-12-24,Online,Kolkata,15957.78
2097,Women,Training,ZoomX Invincible,XL,2,7978.89,0.0,2024-12-24,Online,Bengaluru,15957.78
2098,Men,Training,ZoomX Invincible,L,2,5690.69,0.69,2024-01-24,Online,Hyderabad,3528.2278000000006
2099,Kids,Soccer,Mercurial Superfly,M,2,5937.52,0.32,2025-02-01,Retail,Mumbai,8075.0271999999995
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0.0,2025-07-11,Retail,Mumbai,5937.52
2101,Kids,Running,Free RN,XL,1,2010.07,0.0,2025-07-03,Online,Hyderabad,2010.07
2102,Women,Soccer,Mercurial Superfly,XL,1,6777.88,0.77,2025-04-10,Online,Pune,1558.9124
2103,Women,Basketball,LeBron 20,XL,1,6777.88,0.0,2025-01-08,Online,Kolkata,6777.88
2104,Men,Basketball,Kyrie Flytrap,XL,2,5744.7,0.0,2025-01-08,Retail,Delhi,11489.4
2105,Kids,Training,Metcon 7,XL,2,5744.7,0.0,2024-11-17,Retail,Mumbai,11489.4
2106,Women,Running,Free RN,XL,4,2201.54,0.0,2024-11-17,Retail,Bengaluru,8806.16
2107,Women,Running,React Infinity,M,4,2201.54,0.0,2024-08-30,Online,Hyderabad,8806.16
2108,Kids,Lifestyle,Air Force 1,XL,0,2201.54,0.27,2024-11-15,Retail,Mumbai,0.0
2109,Kids,Basketball,Zoom Freak,M,0,2201.54,0.0,2025-01-29,Retail,Kolkata,0.0
2110,Kids,Running,Air Zoom,12,1,2201.54,0.42,2024-12-25,Retail,Pune,1276.8932000000002
2111,Men,Lifestyle,Waffle One,12,1,2201.54,1.14,2024-11-21,Retail,Bengaluru,-308.21559999999977
2112,Women,Training,Metcon 7,12,1,2201.54,0.0,2024-11-21,Retail,Bengaluru,2201.54
2113,Women,Basketball,Air Jordan,XL,1,3939.34,0.0,2023-12-19,Retail,Pune,3939.34
2114,Women,Training,Flex Trainer,XL,1,3167.33,0.53,2023-12-19,Retail,Pune,1488.6451
2115,Kids,Soccer,Phantom GT,6,2,7607.45,0.0,2023-12-19,Online,Kolkata,15214.9
2116,Women,Basketball,LeBron 20,6,0,4038.32,1.13,2024-08-27,Online,Hyderabad,-0.0
2117,Women,Training,SuperRep Go,L,0,7645.96,0.0,2024-10-30,Online,Pune,0.0
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.0,2023-09-21,Online,Hyderabad,16853.08
2119,Women,Training,Metcon 7,11,1,6436.11,0.41,2025-04-05,Retail,Kolkata,3797.3049000000005
2120,Men,Soccer,Phantom GT,12,1,6436.11,0.0,2024-12-14,Retail,Pune,6436.11
2000,Kids,Running,React Infinity,M,1,6436.11,0.0,2023-11-20,Retail,Kolkata,6436.11
2122,Kids,Soccer,Mercurial Superfly,M,0,6436.11,0.0,2023-11-20,Retail,Bengaluru,0.0
2123,Men,Running,Air Zoom,L,1,6436.11,0.0,2024-09-15,Retail,Hyderabad,6436.11
2124,Kids,Basketball,Kyrie Flytrap,L,1,6436.11,1.24,2025-07-04,Online,Kolkata,-1544.6663999999998
2125,Women,Soccer,Tiempo Legend,M,1,5399.58,0.0,2024-12-10,Retail,Hyderabad,5399.58
2126,Kids,Running,Pegasus Turbo,L,1,5399.58,0.0,2024-12-14,Retail,Pune,5399.58
2127,Men,Training,Metcon 7,L,1,4020.5,0.0,2023-08-19,Online,Mumbai,4020.5
2128,Women,Basketball,LeBron 20,L,3,8750.71,0.0,2023-08-19,Retail,Bengaluru,26252.129999999997
2129,Men,Basketball,Zoom Freak,9,3,5561.82,0.0,2023-08-19,Retail,Delhi,16685.46
2130,Men,Soccer,Premier III,10,3,5561.82,0.24,2024-09-14,Online,Bengaluru,12680.9496
2131,Kids,Running,Free RN,XL,2,5561.82,0.0,2024-09-14,Retail,Mumbai,11123.64
2132,Men,Running,Free RN,L,2,6789.53,0.0,2024-09-14,Online,Delhi,13579.06
2133,Men,Training,Metcon 7,XL,2,6789.53,0.0,2024-10-10,Retail,Pune,13579.06
2134,Men,Training,ZoomX Invincible,M,2,4738.62,0.0,2024-08-06,Online,Hyderabad,9477.24
2135,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,2024-11-03,Retail,Hyderabad,4735.4372
2136,Kids,Training,ZoomX Invincible,L,1,5222.02,0.0,2024-09-15,Online,Pune,5222.02
2137,Men,Soccer,Phantom GT,L,0,5222.02,0.95,2025-01-12,Online,Delhi,0.0
2138,Men,Running,Pegasus Turbo,11,2,8055.2,0.0,2025-06-14,Online,Mumbai,16110.4
2139,Women,Basketball,Air Jordan,M,1,6765.74,0.0,2025-06-19,Retail,Mumbai,6765.74
2140,Men,Basketball,Zoom Freak,M,1,6765.74,0.0,2025-04-28,Online,Bengaluru,6765.74
2141,Kids,Soccer,Tiempo Legend,M,1,3313.21,1.1,2023-11-22,Retail,Kolkata,-331.3210000000003
2142,Kids,Soccer,Mercurial Superfly,M,1,3313.21,0.0,2024-10-03,Retail,Kolkata,3313.21
2143,Kids,Training,ZoomX Invincible,L,1,3313.21,0.0,2025-03-10,Online,Delhi,3313.21
2144,Women,Lifestyle,Waffle One,L,4,3313.21,0.0,2025-03-30,Online,Kolkata,13252.84
2145,Men,Lifestyle,Blazer Mid,6,0,3313.21,0.67,2024-07-30,Online,Bengaluru,0.0
2146,Kids,Basketball,Air Jordan,XL,1,3313.21,1.12,2025-02-15,Retail,Mumbai,-397.5852000000004
2147,Women,Soccer,Phantom GT,XL,1,3313.21,0.0,2024-09-14,Online,Hyderabad,3313.21
2148,Men,Basketball,Kyrie Flytrap,XL,2,3313.21,0.0,2025-06-19,Online,Hyderabad,6626.42
2149,Women,Running,Pegasus Turbo,XL,2,3313.21,0.0,2025-05-20,Online,Kolkata,6626.42
2150,Women,Basketball,LeBron 20,M,2,3313.21,0.48,2025-07-06,Online,Bengaluru,3445.7384
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.0,2025-05-27,Online,Bengaluru,22479.0
2152,Women,Running,Free RN,8,0,2963.16,0.0,2025-05-27,Online,Bengaluru,0.0
2153,Men,Running,React Infinity,8,0,2963.16,0.09,2024-08-18,Retail,Pune,0.0
2154,Kids,Lifestyle,Blazer Mid,XL,3,2963.16,0.0,2025-04-01,Online,Bengaluru,8889.48
2155,Men,Soccer,Phantom GT,XL,3,3987.65,0.0,2025-04-01,Online,Hyderabad,11962.95
2156,Men,Soccer,Tiempo Legend,M,0,3987.65,0.0,2024-08-31,Online,Pune,0.0
2157,Kids,Soccer,Premier III,M,1,3987.65,0.0,2025-04-29,Online,Delhi,3987.65
2158,Women,Running,React Infinity,M,1,3987.65,0.5,2025-01-28,Online,Mumbai,1993.825
2159,Women,Training,ZoomX Invincible,XL,2,3987.65,0.0,2025-01-28,Retail,Delhi,7975.3
2160,Kids,Running,Air Zoom,XL,0,5119.41,0.0,2025-03-01,Retail,Mumbai,0.0
2161,Kids,Lifestyle,Waffle One,M,0,5119.41,0.8,2025-03-01,Online,Pune,0.0
2162,Men,Lifestyle,Blazer Mid,8,0,7662.11,0.0,2025-03-01,Online,Mumbai,0.0
2163,Men,Lifestyle,Dunk Low,7,0,4577.65,1.24,2025-03-06,Retail,Hyderabad,-0.0
2164,Women,Soccer,Mercurial Superfly,8,0,4577.65,0.95,2024-10-23,Online,Pune,0.0
2165,Kids,Training,SuperRep Go,L,4,4577.65,0.0,2024-11-11,Retail,Kolkata,18310.6
2166,Women,Lifestyle,Air Force 1,M,3,7312.38,0.0,2025-02-01,Online,Mumbai,21937.14
2167,Men,Running,React Infinity,XL,3,3055.79,0.0,2025-02-01,Retail,Mumbai,9167.369999999999
2168,Women,Running,Pegasus Turbo,XL,4,4046.05,0.85,2024-08-01,Retail,Kolkata,2427.6300000000006
2169,Kids,Training,Flex Trainer,XL,4,4046.05,0.01,2024-12-14,Retail,Delhi,16022.358
2170,Kids,Lifestyle,Air Force 1,M,0,9378.52,0.0,2025-06-28,Online,Kolkata,0.0
2022,Women,Lifestyle,Air Force 1,L,1,9378.52,1.06,2023-10-29,Retail,Mumbai,-562.7112000000005
2172,Women,Training,ZoomX Invincible,M,1,7988.99,1.2,2024-12-17,Online,Bengaluru,-1597.7979999999995
2173,Men,Running,Free RN,L,1,6620.78,0.0,2025-03-29,Online,Bengaluru,6620.78
2174,Women,Soccer,Phantom GT,L,4,3883.92,0.0,2025-03-29,Retail,Pune,15535.68
2175,Women,Lifestyle,Blazer Mid,L,4,7214.55,1.16,2025-03-29,Online,Pune,-4617.311999999998
2176,Men,Soccer,Mercurial Superfly,L,4,7214.55,0.0,2025-01-04,Online,Bengaluru,28858.2
2177,Women,Lifestyle,Waffle One,XL,1,7214.55,0.0,2025-06-27,Retail,Mumbai,7214.55
2178,Men,Running,Free RN,XL,1,7214.55,0.0,2024-10-28,Retail,Bengaluru,7214.55
2179,Women,Training,ZoomX Invincible,M,3,7214.55,0.0,2024-01-26,Retail,Pune,21643.65
2180,Women,Basketball,LeBron 20,XL,2,7214.55,0.0,2024-05-15,Online,Pune,14429.1
2181,Women,Lifestyle,Air Force 1,XL,2,7214.55,0.0,2025-01-06,Retail,Delhi,14429.1
2182,Kids,Basketball,Zoom Freak,11,4,7214.55,0.0,2025-01-06,Online,Mumbai,28858.2
2183,Kids,Lifestyle,Waffle One,M,4,5389.56,0.0,2025-01-06,Online,Pune,21558.24
2184,Men,Soccer,Mercurial Superfly,XL,4,4207.44,0.0,2025-01-06,Retail,Hyderabad,16829.76
2185,Women,Training,ZoomX Invincible,XL,4,4207.44,0.59,2025-06-08,Online,Kolkata,6900.201599999999
2186,Men,Running,React Infinity,XL,0,7795.32,0.0,2025-06-08,Retail,Bengaluru,0.0
2187,Men,Running,React Infinity,L,1,7795.32,0.0,2024-11-09,Online,Mumbai,7795.32
2188,Men,Running,React Infinity,L,1,4280.01,0.0,2024-11-09,Online,Pune,4280.01
2189,Men,Training,SuperRep Go,L,3,4280.01,0.9,2024-10-02,Online,Hyderabad,1284.0029999999997
2190,Kids,Basketball,Kyrie Flytrap,L,3,4280.01,0.66,2024-10-02,Online,Delhi,4365.6102
2191,Men,Lifestyle,Air Force 1,8,3,6196.01,0.0,2024-09-28,Retail,Pune,18588.03
2192,Men,Basketball,Kyrie Flytrap,XL,1,6196.01,0.0,2023-10-13,Retail,Delhi,6196.01
2193,Women,Lifestyle,Waffle One,XL,1,6196.01,1.24,2025-01-17,Retail,Delhi,-1487.0424
2194,Men,Soccer,Mercurial Superfly,M,2,6196.01,0.0,2024-10-27,Online,Hyderabad,12392.02
2195,Women,Training,SuperRep Go,M,2,2708.73,0.51,2024-10-27,Online,Delhi,2654.5554
2196,Kids,Soccer,Premier III,L,2,2708.73,0.0,2025-06-30,Online,Delhi,5417.46
2197,Kids,Training,ZoomX Invincible,L,3,5570.72,0.0,2024-10-06,Online,Bengaluru,16712.16
2198,Men,Training,SuperRep Go,7,4,5570.72,0.65,2025-01-05,Online,Pune,7799.008
2199,Men,Soccer,Premier III,M,1,5570.72,0.0,2025-01-05,Retail,Kolkata,5570.72
2200,Men,Basketball,Air Jordan,9,3,5570.72,0.0,2025-01-05,Online,Delhi,16712.16
2201,Women,Training,SuperRep Go,11,1,7918.93,0.0,2024-05-10,Online,Mumbai,7918.93
2202,Men,Basketball,Kyrie Flytrap,M,1,7918.93,1.06,2025-07-04,Retail,Bengaluru,-475.1358000000004
2203,Men,Lifestyle,Air Force 1,M,0,6903.22,0.0,2025-07-04,Online,Pune,0.0
2204,Men,Basketball,LeBron 20,7,0,7660.41,0.0,2025-05-17,Online,Delhi,0.0
2205,Women,Running,React Infinity,XL,0,5172.62,0.0,2025-04-24,Retail,Pune,0.0
2206,Men,Training,Flex Trainer,M,2,5172.62,0.0,2025-04-24,Online,Delhi,10345.24
2207,Women,Running,Pegasus Turbo,XL,4,5172.62,0.0,2025-04-24,Online,Hyderabad,20690.48
2208,Women,Basketball,LeBron 20,M,4,5172.62,0.97,2025-04-24,Retail,Hyderabad,620.7144000000005
2209,Kids,Training,SuperRep Go,M,4,7670.82,0.0,2024-09-01,Retail,Hyderabad,30683.28
2210,Men,Lifestyle,Blazer Mid,XL,4,7670.82,0.0,2024-08-09,Retail,Kolkata,30683.28
2000,Kids,Training,Metcon 7,XL,4,7670.82,0.94,2024-02-27,Retail,Bengaluru,1840.9968000000015
2212,Women,Lifestyle,Blazer Mid,L,2,7670.82,0.0,2024-09-23,Online,Kolkata,15341.64
2213,Women,Running,Air Zoom,9,2,5714.92,0.0,2024-09-23,Online,Delhi,11429.84
2214,Men,Basketball,LeBron 20,XL,2,5016.03,0.0,2024-09-23,Retail,Mumbai,10032.06
2215,Men,Basketball,Zoom Freak,XL,3,3111.62,0.36,2024-12-16,Online,Kolkata,5974.3104
2216,Women,Lifestyle,Air Force 1,M,1,3111.62,0.0,2024-12-16,Online,Hyderabad,3111.62
2217,Women,Lifestyle,Waffle One,L,2,3375.97,0.0,2025-04-15,Retail,Delhi,6751.94
2218,Kids,Soccer,Premier III,6,2,3375.97,0.0,2025-04-15,Online,Bengaluru,6751.94
2219,Women,Basketball,Air Jordan,M,1,3375.97,1.06,2025-04-15,Online,Bengaluru,-202.55820000000017
2220,Kids,Training,SuperRep Go,M,2,3375.97,0.0,2024-09-09,Online,Kolkata,6751.94
2221,Kids,Lifestyle,Waffle One,L,2,3375.97,0.0,2024-01-06,Retail,Mumbai,6751.94
2222,Men,Training,ZoomX Invincible,XL,2,8897.19,0.11,2024-12-21,Retail,Mumbai,15836.998200000002
2223,Kids,Training,Flex Trainer,M,1,9180.15,0.0,2025-02-15,Online,Kolkata,9180.15
2224,Kids,Lifestyle,Dunk Low,M,1,2180.71,0.12,2024-09-24,Online,Pune,1919.0248000000001
2225,Kids,Basketball,Kyrie Flytrap,11,0,2180.71,0.0,2024-09-24,Retail,Hyderabad,0.0
2226,Women,Basketball,Zoom Freak,11,0,2180.71,0.31,2025-06-28,Online,Delhi,0.0
2021,Men,Running,React Infinity,XL,0,2180.71,0.82,2025-06-28,Retail,Hyderabad,0.0
2228,Kids,Basketball,Zoom Freak,XL,0,9382.15,0.0,2024-08-22,Online,Kolkata,0.0
2229,Men,Running,Air Zoom,XL,0,7143.23,0.0,2025-03-26,Retail,Mumbai,0.0
2230,Kids,Lifestyle,Dunk Low,10,0,2149.28,0.0,2025-03-26,Online,Bengaluru,0.0
2231,Kids,Training,Flex Trainer,9,0,2149.28,1.05,2025-01-04,Online,Bengaluru,-0.0
2232,Women,Running,Free RN,XL,0,2149.28,0.32,2024-11-17,Online,Kolkata,0.0
2233,Men,Lifestyle,Air Force 1,XL,0,6189.1,0.0,2024-11-17,Online,Kolkata,0.0
2234,Men,Training,Flex Trainer,XL,4,6189.1,1.12,2024-12-21,Retail,Bengaluru,-2970.7680000000028
2042,Men,Basketball,Kyrie Flytrap,10,1,5254.47,0.0,2025-02-26,Retail,Bengaluru,5254.47
2236,Men,Soccer,Mercurial Superfly,M,3,5089.88,0.0,2025-02-26,Online,Delhi,15269.64
2237,Kids,Training,Metcon 7,M,3,5089.88,0.0,2025-06-26,Online,Mumbai,15269.64
2238,Kids,Training,SuperRep Go,M,3,4348.86,0.0,2025-06-26,Online,Delhi,13046.579999999998
2239,Men,Training,SuperRep Go,XL,1,9520.5,0.0,2024-08-04,Online,Kolkata,9520.5
2240,Kids,Basketball,Air Jordan,M,1,9520.5,0.48,2025-01-22,Retail,Kolkata,4950.66
2241,Women,Soccer,Tiempo Legend,12,1,9662.04,0.0,2025-02-19,Online,Hyderabad,9662.04
2046,Kids,Basketball,LeBron 20,12,1,4934.46,0.86,2025-02-19,Retail,Kolkata,690.8244000000001
2243,Men,Lifestyle,Blazer Mid,L,2,9747.58,0.0,2024-11-07,Retail,Delhi,19495.16
2244,Kids,Training,Metcon 7,L,2,4128.35,0.0,2024-11-07,Online,Delhi,8256.7
2245,Kids,Running,React Infinity,L,1,4128.35,0.0,2025-04-16,Online,Pune,4128.35
2246,Kids,Basketball,LeBron 20,L,1,7806.98,0.0,2024-10-02,Online,Hyderabad,7806.98
2247,Women,Training,Metcon 7,L,4,8249.96,0.0,2024-08-16,Online,Mumbai,32999.84
2248,Men,Training,Metcon 7,M,4,8249.96,0.24,2024-01-16,Online,Bengaluru,25079.878399999998
2249,Men,Training,Flex Trainer,M,2,7730.77,0.0,2024-05-28,Online,Delhi,15461.54
2250,Men,Basketball,Kyrie Flytrap,XL,2,9593.65,0.0,2024-10-01,Retail,Pune,19187.3
2046,Men,Basketball,Air Jordan,XL,2,9593.65,0.0,2025-01-11,Online,Hyderabad,19187.3
2252,Women,Running,Free RN,L,0,2222.55,0.0,2025-01-11,Retail,Delhi,0.0
2253,Men,Training,Flex Trainer,M,0,2222.55,0.0,2025-05-18,Online,Bengaluru,0.0
2254,Women,Basketball,LeBron 20,M,1,2222.55,0.89,2025-04-24,Online,Hyderabad,244.48049999999998
2255,Kids,Basketball,LeBron 20,XL,1,2222.55,0.84,2025-04-06,Retail,Mumbai,355.6080000000001
2256,Men,Soccer,Phantom GT,XL,1,2503.6,0.0,2025-03-30,Online,Hyderabad,2503.6
2257,Men,Basketball,Kyrie Flytrap,XL,1,2503.6,0.0,2025-02-09,Online,Mumbai,2503.6
